service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
00808 DO ohne Eisl.,0,0,0,0,0,0,0,20230417,20261231
00808 DO ohne Eisl. bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00808 FR mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00808 MI mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00808 ohne Eisl.,0,0,0,0,0,0,0,20230417,20261231
00808 ohne Eisl. bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
01004,0,0,0,0,0,0,0,20230417,20261231
01005,0,0,0,0,0,0,0,20230417,20261231
01005 (U-MD),0,0,0,0,0,0,0,20230417,20261231
01005 SF MO Dult,0,0,0,0,0,0,0,20230417,20261231
01005 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01006,0,0,0,0,0,0,0,20230417,20261231
01006 (U-MD),0,0,0,0,0,0,0,20230417,20261231
01008 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01018,0,0,0,0,0,0,0,20230417,20261231
01101,0,0,0,0,0,0,0,20230417,20261231
01101 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01102,0,0,0,0,0,0,0,20230417,20261231
01102 Ferien,0,0,0,0,0,0,0,20230417,20261231
01102 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01102 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
01103 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01104,0,0,0,0,0,0,0,20230417,20261231
01104 Ferien,0,0,0,0,0,0,0,20230417,20261231
01104 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01104 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
01105,0,0,0,0,0,0,0,20230417,20261231
01105 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01107 FR,0,0,0,0,0,0,0,20230417,20261231
01107 FR bis 25.07.25,0,0,0,0,0,0,0,20230417,20261231
01107 Ferien,0,0,0,0,0,0,0,20230417,20261231
01107 MD,0,0,0,0,0,0,0,20230417,20261231
01107 MD bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
01107 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01110 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01113,0,0,0,0,0,0,0,20230417,20261231
01113 Ferien,0,0,0,0,0,0,0,20230417,20261231
01113 bis 31.07.25[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
01113[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
01116 Ferien,0,0,0,0,0,0,0,20230417,20261231
01116 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01801 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01801 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
01801 bis 31.07.25[2025-7-24],0,0,0,0,0,0,0,20230417,20261231
01801[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
01802 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01802 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
01802 mit Eisl.[2025-10-1],0,0,0,0,0,0,0,20230417,20261231
01802[2025-7-24],0,0,0,0,0,0,0,20230417,20261231
01820 Ferien[2025-11-3],0,0,0,0,0,0,0,20230417,20261231
01820 SF/WF,0,0,0,0,0,0,0,20230417,20261231
01820 SF/WF bis 15.09.25[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
03904 SF/WF,0,0,0,0,0,0,0,20230417,20261231
03904 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
03905 SF/WF,0,0,0,0,0,0,0,20230417,20261231
03906,0,0,0,0,0,0,0,20230417,20261231
03907,0,0,0,0,0,0,0,20230417,20261231
03907 SF/WF,0,0,0,0,0,0,0,20230417,20261231
03909 SF/WF,0,0,0,0,0,0,0,20230417,20261231
03914,0,0,0,0,0,0,0,20230417,20261231
03914 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
03917,0,0,0,0,0,0,0,20230417,20261231
03917 SF/WF,0,0,0,0,0,0,0,20230417,20261231
03942,0,0,0,0,0,0,0,20230417,20261231
03942 Ferien,0,0,0,0,0,0,0,20230417,20261231
03942 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
03942 bis 31.07.25[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
03942[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
05312 FR (nur C6) mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
05312 MD (nur C6),0,0,0,0,0,0,0,20230417,20261231
05314 (U-FR),0,0,0,0,0,0,0,20230417,20261231
05314 (U-FR) bis 25.07.25,0,0,0,0,0,0,0,20230417,20261231
05314 (U-MD),0,0,0,0,0,0,0,20230417,20261231
05315,0,0,0,0,0,0,0,20230417,20261231
05315 (U-MF),0,0,0,0,0,0,0,20230417,20261231
05315 (U-MF) bis 25.07.25[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
05315 bis 31.07.25[2025-7-28],0,0,0,0,0,0,0,20230417,20261231
05315[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
05316 letzer SF-Tag,0,0,0,0,0,0,0,20230417,20261231
05317,0,0,0,0,0,0,0,20230417,20261231
05317 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
05321,0,0,0,0,0,0,0,20230417,20261231
05321 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
05407 (U-FR),0,0,0,0,0,0,0,20230417,20261231
05407 (U-MD),0,0,0,0,0,0,0,20230417,20261231
05417 FR mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
05417 FR[2025-9-19],0,0,0,0,0,0,0,20230417,20261231
05417 MD,0,0,0,0,0,0,0,20230417,20261231
05417 MD bis 31.07.25[2025-7-28],0,0,0,0,0,0,0,20230417,20261231
05417 MD[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
05510 (U-FR),0,0,0,0,0,0,0,20230417,20261231
05510 (U-FR) bis 25.07.25,0,0,0,0,0,0,0,20230417,20261231
05510 (U-MD),0,0,0,0,0,0,0,20230417,20261231
05517 MF,0,0,0,0,0,0,0,20230417,20261231
06109 (U-FR),0,0,0,0,0,0,0,20230417,20261231
06109 (U-MD),0,0,0,0,0,0,0,20230417,20261231
06112 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06112 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06123 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06123 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06204 (U-DO),0,0,0,0,0,0,0,20230417,20261231
06204 (U-FR),0,0,0,0,0,0,0,20230417,20261231
06204 (U-MM),0,0,0,0,0,0,0,20230417,20261231
06204 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06206 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06207 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06207 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06210 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06210 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06217 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06416 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06416 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
06423 Ferien (U-MF),0,0,0,0,0,0,0,20230417,20261231
06614 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
06614 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
07203 FR (nur C6),0,0,0,0,0,0,0,20230417,20261231
07203 MD (nur C6),0,0,0,0,0,0,0,20230417,20261231
07216,0,0,0,0,0,0,0,20230417,20261231
07216 (U-FR),0,0,0,0,0,0,0,20230417,20261231
07216 (U-MD),0,0,0,0,0,0,0,20230417,20261231
07616,0,0,0,0,0,0,0,20230417,20261231
07705,0,0,0,0,0,0,0,20230417,20261231
07705[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
07715 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07715 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
07720,0,0,0,0,0,0,0,20230417,20261231
07720[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
07726 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07801 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07803 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07808 Ferien (U) ohne Eisl.,0,0,0,0,0,0,0,20230417,20261231
07808 Ferien U-DO mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
07808 Ferien U-FR mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
07808 Ferien U-MI mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
07809,0,0,0,0,0,0,0,20230417,20261231
07809 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
07813,0,0,0,0,0,0,0,20230417,20261231
07813 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07833,0,0,0,0,0,0,0,20230417,20261231
07833 (U-MF),0,0,0,0,0,0,0,20230417,20261231
07833 (U-MF)[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
07833[2025-7-28],0,0,0,0,0,0,0,20230417,20261231
07877,0,0,0,0,0,0,0,20230417,20261231
07877 Ferien,0,0,0,0,0,0,0,20230417,20261231
07877 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07912,0,0,0,0,0,0,0,20230417,20261231
07912 SF/WF,0,0,0,0,0,0,0,20230417,20261231
07912 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
07912 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
07914,0,0,0,0,0,0,0,20230417,20261231
07914 (U-FR),0,0,0,0,0,0,0,20230417,20261231
07914 (U-FR)[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
07914 (U-MD),0,0,0,0,0,0,0,20230417,20261231
07914 FR (nur C6),0,0,0,0,0,0,0,20230417,20261231
07914 Ferien (U-MF),0,0,0,0,0,0,0,20230417,20261231
07914 MD (nur C6),0,0,0,0,0,0,0,20230417,20261231
08020,0,0,0,0,0,0,0,20230417,20261231
08020 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
08022,0,0,0,0,0,0,0,20230417,20261231
08022 (U-MF),0,0,0,0,0,0,0,20230417,20261231
08022 (U-MF) bis 25.07.25,0,0,0,0,0,0,0,20230417,20261231
08022 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
09401 Sperre Altstadt,0,0,0,0,0,0,0,20230417,20261231
09401 WF Sperre Altst.,0,0,0,0,0,0,0,20230417,20261231
09402,0,0,0,0,0,0,0,20230417,20261231
09402 SF/WF,0,0,0,0,0,0,0,20230417,20261231
09402 WF Sperre Altstadt,0,0,0,0,0,0,0,20230417,20261231
09403 SF/WF,0,0,0,0,0,0,0,20230417,20261231
09403 Sperre Altstadt,0,0,0,0,0,0,0,20230417,20261231
09403 WF Sperre Altst.,0,0,0,0,0,0,0,20230417,20261231
09403 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
09701,0,0,0,0,0,0,0,20230417,20261231
09701 SF/WF,0,0,0,0,0,0,0,20230417,20261231
09704,0,0,0,0,0,0,0,20230417,20261231
09704 SF/WF,0,0,0,0,0,0,0,20230417,20261231
09801 MiDo mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
1001 SO,0,0,0,0,0,0,0,20230417,20261231
1005 HA,0,0,0,0,0,0,0,20230417,20261231
1007 HA,0,0,0,0,0,0,0,20230417,20261231
1007 SA,0,0,0,0,0,0,0,20230417,20261231
1007 SIL,0,0,0,0,0,0,0,20230417,20261231
101 HA,0,0,0,0,0,0,0,20230417,20261231
101 SA,0,0,0,0,0,0,0,20230417,20261231
101 SIL,0,0,0,0,0,0,0,20230417,20261231
101 SO,0,0,0,0,0,0,0,20230417,20261231
1010 SO,0,0,0,0,0,0,0,20230417,20261231
102 HA,0,0,0,0,0,0,0,20230417,20261231
102 SA,0,0,0,0,0,0,0,20230417,20261231
102 SIL,0,0,0,0,0,0,0,20230417,20261231
102 SO,0,0,0,0,0,0,0,20230417,20261231
1023 SA,0,0,0,0,0,0,0,20230417,20261231
1023 SAcopy,0,0,0,0,0,0,0,20230417,20261231
1023 SIL,0,0,0,0,0,0,0,20230417,20261231
1024 HA,0,0,0,0,0,0,0,20230417,20261231
1024 SA,0,0,0,0,0,0,0,20230417,20261231
1024 SIL,0,0,0,0,0,0,0,20230417,20261231
103 SO,0,0,0,0,0,0,0,20230417,20261231
104 HA,0,0,0,0,0,0,0,20230417,20261231
104 SA,0,0,0,0,0,0,0,20230417,20261231
104 SA mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
104 SIL,0,0,0,0,0,0,0,20230417,20261231
104 SO,0,0,0,0,0,0,0,20230417,20261231
105 HA,0,0,0,0,0,0,0,20230417,20261231
105 SA,0,0,0,0,0,0,0,20230417,20261231
