;Nummer;K¸rzel;Langname;Kurzname;Online-Info Haltestelle;Externe Online-Info Haltestelle;Anz. Pos.;Ansage-Nr.;Linien-Darst.;Funkgest¸tzt;÷ffne Verweis;X-Koord;Y-Koord;Globale Haltestellen-Kennung
149;13024;HENL;Peter-Henlein-Str.;Peter-Henlein-Str.;;;2;132;X;;;0;0;de:09362:13024
150;14055;HEUS;Theodor-Heuss-Platz;Theodor-Heuss-Platz;;;2;91;X;;;0;0;de:09362:14055
151;14042;HGEI;Hermann-Geib-Straﬂe;Hermann-Geib-Straﬂe;;;3;70;X;;;0;0;de:09362:14042
152;20100;HIMMEL;Himmel;Himmel;;;1;0;;;;0;0;de:09362:20100
153;12023;HINTERE;Hintere Keilbergstraﬂe;Hintere Keilbergstraﬂe;;;2;307;X;;;0;0;de:09362:12023
154;230;HOEF;Hˆfling;Hˆfling;;;2;596;X;;;0;0;de:09362:230
155;14027;HOES;Johann-Hˆsl-Straﬂe;Johann-Hˆsl-Straﬂe;;;5;336;X;;;0;0;de:09362:14027
156;14043;HOFG;Hofgartenweg;Hofgartenweg;;;1;73;X;;;0;0;de:09362:14043
157;57;HOHO;Am Holzhof;Am Holzhof;;;2;520;X;;;0;0;de:09362:57
158;13020;HOKR;Hohes Kreuz;Hohes Kreuz;;;2;74;X;;;0;0;de:09362:13020
159;17005;HOLI;Zur Hohen Linie;Zur Hohen Linie;;;2;308;X;;;0;0;de:09362:17005
160;12027;HOLL;Hollerweg;Hollerweg;;;2;435;X;;;0;0;de:09362:12027
161;20101;H÷LLE;Hˆlle;Hˆlle;;;1;0;;;;0;0;de:09362:20101
162;12024;HOLZ;Holzgartenstraﬂe;Holzgartenstraﬂe;;;2;75;X;;;0;0;de:09362:12024
163;997;HOPP;Hoppestraﬂe;Hoppestraﬂe;;;2;539;X;;;0;0;de:09362:11
164;14095;HORN;Hornstraﬂe;Hornstraﬂe;;;2;395;X;;;0;0;de:09362:14095
165;11080;HPLZ;Haidplatz;Haidplatz;;;1;60;X;;;0;0;de:09362:11080
166;13010;HTFR;Harting Friedhof;Harting Friedhof;;;2;280;X;;;0;0;de:09362:13010
167;13016;HTHO;Harting Holzerstraﬂe;Harting Holzerstraﬂe;;;1;311;X;;;0;0;de:09362:13016
168;13040;HTJU;Harting Junkersstraﬂe;Harting Junkersstraﬂe;;;2;343;X;;;0;0;de:09362:13040
169;13012;HTKI;Harting Kirche;Harting Kirche;;;3;279;X;;;0;0;de:09362:13012
170;13013;HTPL;Max-Planck-Straﬂe;Max-Planck-Straﬂe;;;3;274;X;;;0;0;de:09362:13013
171;13011;HTQU;Herbert-Quandt-Allee;Herbert-Quandt-Allee;;;4;277;X;;;0;0;de:09362:13011
172;13014;HTRA;Harting Rathenaustraﬂe;Harting Rathenaustraﬂe;;;2;329;X;;;0;0;de:09362:13014
173;13015;HTWE;Harting Wendeplatz;Harting Wendeplatz;;;2;278;X;;;0;0;de:09362:13015
174;14044;HUMB;Humboldtstr. B¸rgerhaus;Humboldtstr. B¸rgerhaus;;;1;380;X;;;0;0;de:09362:14044
175;14086;HUMS;Humboldtstraﬂe;Humboldtstraﬂe;;;2;76;X;X;;0;0;de:09362:14086
176;944;IKEA;IKEA;IKEA;;;1;534;X;;;0;0;de:09362:944
177;235;IRL;Irl Ortsmitte;Irl Ortsmitte;;;2;536;X;;;0;0;de:09362:235
178;239;IRLA;Abzweigung Irlmauth;Abzweigung Irlmauth;;;1;410;X;;;0;0;de:09362:239
179;13021;IRLH;An der Irler Hˆhe;An der Irler Hˆhe;;;1;78;X;;;12;49;de:09362:13021
180;13047;IRLM;Irlmauth;Irlmauth;;;3;558;X;;;0;0;de:09362:13047
181;1839;IRSC;Irlbach Schule;Irlbach Schule;;;2;501;X;;;0;0;de:09375:839
182;13031;IRWE;Irl West;Irl West;;;2;573;X;;;0;0;de:09362:13031
183;14003;ISEL;An der Iselrinne;An der Iselrinne;;;3;9;X;;;0;0;de:09362:14003
184;14079;JAHN;Jahnstadion Regensburg;Jahnstadion Regensburg;;;7;438;X;;;0;0;de:09362:14079
185;14081;JAHNP;Jahnstadion Regensburg/P2;Jahnstadion Regensburg / P2;;;3;488;X;;;0;0;de:09362:14081
186;14056;JOSE;Krankenhaus St. Josef;Krankenhaus St. Josef;;;2;96;X;;;0;0;de:09362:14056
187;11011;JUST;Justizgeb‰ude;Justizgeb‰ude;X;;4;80;X;;;0;0;de:09362:11011
188;16002;KAGE;Kager;Kager;;;2;81;X;;;0;0;de:09362:16002
189;12030;KALK;Kalkwerk;Kalkwerk;X;X;2;83;X;;;0;0;de:09362:12030
190;14103;KART;Karthauser Straﬂe;Karthauser Straﬂe;;;2;562;X;;;0;0;de:09362:14103
191;13029;KAST;Kastenmaierstraﬂe;Kastenmaierstraﬂe;;;1;598;X;;;0;0;de:09362:13029
192;14059;KAUL;Kaulbachweg;Kaulbachweg;;;2;26;X;;;0;0;de:09362:14059
193;11000;KBAB;Hintere Keilbergstraﬂe;Hintere Keilbergstraﬂe;;;2;307;X;;;0;0;de:09362:11000
194;12031;KBHS;Keilberger Hauptstraﬂe;Keilberger Hauptstraﬂe;;;2;87;X;;;0;0;de:09362:12031
195;12032;KBWE;Keilberg;Keilberg;;;2;86;X;;;0;0;de:09362:12032
196;11181;KEPL;Keplerstraﬂe;Keplerstraﬂe;;;2;442;X;;;0;0;de:09362:11181
197;11111;KHOF;Am Kˆnigshof;Am Kˆnigshof;;;2;269;X;;;0;0;de:09362:11111
198;15015;KILL;Killermannstraﬂe;Killermannstraﬂe;;;1;88;X;;;0;0;de:09362:15015
199;14100;KIRC;Kirchmeierstraﬂe;Kirchmeierstraﬂe;;;2;291;X;;;0;0;de:09362:14100
200;13026;KLEB;Klenzebr¸cke;Klenzebr¸cke;;;2;581;X;;;0;0;de:09362:13026
201;14051;KLEN;Klenzestraﬂe;Klenzestraﬂe;X;;5;89;X;;;0;0;de:09362:14051
202;11669;KLIE;Landshuter Straﬂe/Klier;Landshuter Straﬂe/Klier;;;1;580;X;;;0;0;de:09362:669
203;14052;KLIN;Klinikum;Klinikum;;;2;90;X;;;0;0;de:09362:14052
204;14096;KLIW;Klinikum West;Klinikum West;;;1;416;X;;;0;0;de:09362:14096
205;15002;KLOS;An den Klostergr¸nden;An den Klostergr¸nden;;;1;8;X;X;;0;0;de:09362:15002
206;16004;KNEI;Kneiting;Kneiting;;;1;338;X;;;0;0;de:09375:16004
207;15011;KOEH;Hermann-Kˆhl-Straﬂe;Hermann-Kˆhl-Straﬂe;;;2;71;X;;;0;0;de:09362:15011
208;11110;KOEN;Kˆnigsstraﬂe;Kˆnigsstraﬂe;;;2;92;X;;;0;0;de:09362:11110
209;12033;KOET;Kˆtztinger Straﬂe;Kˆtztinger Straﬂe;;;2;95;X;;;0;0;de:09362:12033
210;12088;KONR;Konradschule;Konradschule;;;1;319;X;;;0;0;de:09362:12088
211;811;KORN;Kornweg;Kornweg;;;1;577;X;;;0;0;de:09375:811
212;13004;KRCH;Kirchhoffstraﬂe;Kirchhoffstraﬂe;;;2;574;X;X;;0;0;de:09362:13004
213;258;KREH;Kreuzhof;Kreuzhof;;;2;557;X;;;0;0;de:09362:258
214;13027;KREM;Kremser Straﬂe;Kremser Straﬂe;;;2;402;X;;;0;0;de:09362:13027
215;14005;KREU;An der Kreuzbreite;An der Kreuzbreite;;;4;11;X;;;0;0;de:09362:14005
216;12034;KRON;Kronacher Straﬂe;Kronacher Straﬂe;;;2;97;X;;;0;0;de:09362:12034
217;14046;KSTI;Karl-Stieler-Straﬂe;Karl-Stieler-Straﬂe;X;;3;85;X;;;0;0;de:09362:14046
218;12035;KULM;Kulmbacher Straﬂe;Kulmbacher Straﬂe;;;2;98;X;;;0;0;de:09362:12035
219;14106;KUNS;Kunstpark;Kunstpark;;;2;370;X;;;0;0;de:09362:14106
220;14053;KWSN;Kˆnigswiesen;Kˆnigswiesen;;;1;93;X;;;0;0;de:09362:14053
221;192;LADE;Kein Zustieg;Kein Zustieg;;;1;1;;;;0;0;de:09362:192
222;1724;LBZ;Lotte-Branz-Straﬂe;Lotte-Branz-Straﬂe;;;2;528;X;;;0;0;de:09362:1724
223;12036;LECH;Lechstraﬂe;Lechstraﬂe;X;;4;99;X;;;0;0;de:09362:12036
224;14060;LEOP;Leoprechting;Leoprechting;;;2;100;X;;;0;0;de:09362:14060
225;15016;LESS;Lessingstraﬂe;Lessingstraﬂe;;;2;149;X;;;0;0;de:09362:15016
226;12040;LICH;Lichtenfelser Straﬂe;Lichtenfelser Straﬂe;;;2;102;X;;;0;0;de:09362:12040
